,Loss func,Func params,Num observations,Learn rate,Init w1,Init w2,Init bias,break good,break bad,Num iterations,w1 delta,w2 delta,bias delta,loss / num obs,loss,w1,w2,bias
0,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,-10.0,-10.0,False,False,9999,0.467,0.152,13.591,96.03,96030.078,1.533,-3.152,-8.591
1,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,-10.0,-0.1,False,False,9999,0.444,0.169,4.633,14.544,14543.804,1.556,-3.169,0.367
2,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,-10.0,0.1,False,False,9999,0.443,0.169,4.452,13.724,13724.319,1.557,-3.169,0.548
3,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,-10.0,10.0,False,False,9999,0.42,0.185,-4.506,14.082,14081.574,1.58,-3.185,9.506
4,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,-0.1,-10.0,False,False,9999,0.529,-0.21,13.607,96.904,96903.754,1.471,-2.79,-8.607
5,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,-0.1,-0.1,False,False,9999,0.506,-0.194,4.649,15.276,15275.915,1.494,-2.806,0.351
6,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,-0.1,0.1,False,False,9999,0.506,-0.194,4.468,14.454,14453.57,1.494,-2.806,0.532
7,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,-0.1,10.0,False,False,9999,0.482,-0.177,-4.49,14.669,14669.261,1.518,-2.823,9.49
8,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,0.1,-10.0,False,False,9999,0.531,-0.218,13.607,96.967,96966.925,1.469,-2.782,-8.607
9,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,0.1,-0.1,False,False,9999,0.507,-0.201,4.649,15.336,15336.226,1.493,-2.799,0.351
10,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,0.1,0.1,False,False,9999,0.507,-0.201,4.468,14.514,14513.823,1.493,-2.799,0.532
11,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,0.1,10.0,False,False,9999,0.484,-0.185,-4.49,14.727,14726.654,1.516,-2.815,9.49
12,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,10.0,-10.0,False,False,9999,0.593,-0.58,13.624,102.347,102347.137,1.407,-2.42,-8.624
13,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,-10.0,10.0,-0.1,False,False,9999,0.57,-0.564,4.666,20.575,20574.873,1.43,-2.436,0.334
